dist_for_fit	mean	var
5000	0.04260535432561852	0.00011019022851754611
10000	0.02285606060283649	3.1630153011891786e-05
15000	0.01641473143492035	1.9153233403751544e-05
20000	0.012835580168131218	1.465758846493759e-05
25000	0.010635997172649798	1.132891593127698e-05
30000	0.009036266344658086	9.29150724798849e-06
35000	0.007940005163876867	7.779006864137296e-06
40000	0.0070698883943698	7.435021542094488e-06
45000	0.006496332245858537	6.6529011918633375e-06
50000	0.005967853619339682	5.928437458981267e-06
55000	0.005576049038749431	5.589114997417419e-06
60000	0.005165379455262828	5.2416811434966764e-06
65000	0.0049422096963356015	5.043055509645623e-06
70000	0.0046392683486735815	4.834504344981273e-06
75000	0.004417297543094802	4.3891099922355386e-06
80000	0.004202588888162878	4.228059071130004e-06
85000	0.004069330941314068	4.07612578108512e-06
90000	0.003882539650827474	3.894961475769676e-06
95000	0.0037096902455984637	3.761522901273199e-06
100000	0.003621417034124989	3.6357870201898158e-06
105000	0.0034874462344492096	3.6431797481202888e-06
110000	0.0033973479868720643	3.4829447176322216e-06
115000	0.0033018664028322676	3.3886018251992266e-06
120000	0.003207988498950814	3.249828462838814e-06
125000	0.0031047588126521526	3.171903496665126e-06
130000	0.0030051942301711344	3.004138502711182e-06
135000	0.0029393410383064273	2.8751720038755214e-06
140000	0.0028762322149488147	2.8686739502852874e-06
145000	0.002811042510533908	2.720562636406083e-06
150000	0.0027273207699973763	2.5774288919142738e-06
155000	0.00262603258624152	2.385897886549897e-06
160000	0.0026231225634560477	2.404342658110249e-06
165000	0.002557981205058301	2.3003107603857145e-06
170000	0.0025014271300836605	2.245574422244866e-06
175000	0.002422755390393578	2.07817261375484e-06
180000	0.0024002593606669213	2.0946044084073637e-06
185000	0.0023501023356728656	1.9470120441297682e-06
190000	0.002296826134108094	1.8211447747866355e-06
195000	0.0022738465054005516	1.841745288935493e-06
200000	0.002234541672893686	1.7810926465451792e-06
205000	0.0021997683470127297	1.7144766669720162e-06
210000	0.002163704657346323	1.659906318994423e-06
215000	0.0021386219642001965	1.6889078485918807e-06
220000	0.0021071344373416482	1.6285749412440836e-06
225000	0.002036029601422892	1.5368548529460072e-06
230000	0.002035356660071165	1.4938132787992185e-06
235000	0.0019857548340775967	1.4641959146913575e-06
240000	0.001972721885514913	1.5152822481533495e-06
245000	0.001938553565344875	1.4281207332125507e-06
250000	0.001902106563648321	1.3221390854997416e-06
255000	0.0018928769699833967	1.297828594877119e-06
260000	0.0018746081002117283	1.3205684520977133e-06
265000	0.0018357003316186494	1.2661981720613036e-06
270000	0.001832348545515794	1.3314738243024678e-06
275000	0.001793556920697227	1.2272248016154443e-06
280000	0.001782119634978814	1.2714538954502668e-06
285000	0.0017513594860344742	1.174671327128005e-06
290000	0.0017303761172459717	1.1781577304369e-06
295000	0.0016986457144857674	1.1796614746010077e-06
300000	0.0017124400935924348	1.217095915641764e-06
305000	0.0016612487333860337	1.1132370889342598e-06
310000	0.001639866683641812	1.079657461665533e-06
315000	0.0016288694082832857	1.0856367672369002e-06
320000	0.0016283610279174045	1.1058617547744478e-06
325000	0.0016060843153217494	1.01306160941234e-06
330000	0.0015614757548658858	9.748342916414428e-07
335000	0.0015423194652840562	9.906502080407416e-07
340000	0.0015428780350608328	9.353474960171771e-07
345000	0.0015366042296200283	9.71624323331948e-07
350000	0.0014922404066410402	8.854683437215223e-07
355000	0.0014976250703367055	8.884929796087104e-07
360000	0.001489046930823283	9.070887420209826e-07
365000	0.001462213000453639	8.760511013611125e-07
370000	0.0014480685502783737	8.234941762270175e-07
375000	0.0014403253732737265	8.888289422051122e-07
380000	0.001416147784127683	8.360710701947764e-07
385000	0.0014173119594135684	8.575021150475299e-07
390000	0.001401664107434319	8.51451699732305e-07
395000	0.0013899650674683414	8.554248082063118e-07
400000	0.0013703392868087672	7.904781978691797e-07
405000	0.0013841167683201227	8.556993238485755e-07
410000	0.001356357301473135	8.431695968509297e-07
415000	0.001344836619086428	8.227364087226721e-07
420000	0.0013383018991138342	7.944400223390059e-07
425000	0.001323717111109375	7.39264582021907e-07
430000	0.00131505698107042	7.638895894819579e-07
435000	0.001299651269233443	7.446172380323239e-07
440000	0.0013107708326528722	7.628377121635262e-07
445000	0.0012683702824384164	7.363194292343217e-07
450000	0.001276369228437101	6.91192209242261e-07
455000	0.0012713628136131845	7.731667766886893e-07
460000	0.0012470810039860783	7.142105021685461e-07
465000	0.0012445785231518095	7.037019596360815e-07
470000	0.0012370704833397671	6.960458068084338e-07
475000	0.0012402875844816066	7.746598161331502e-07
480000	0.0012196491139706723	6.802543181166804e-07
485000	0.0011974092303889093	6.242741902839314e-07
490000	0.0011918977523854156	6.066967755206193e-07
495000	0.0011973788869785002	6.278438963144835e-07
500000	0.0011876334930658817	6.154616147387839e-07
505000	0.0011762742537062432	5.878096296105898e-07
510000	0.001183689698450738	6.197904818754557e-07
515000	0.0011713840812167078	5.739215525495388e-07
520000	0.0011584628580851605	5.931201134150471e-07
525000	0.0011670985606437201	6.286785564227029e-07
530000	0.0011444815574968086	6.063951437656689e-07
535000	0.0011362209931395483	5.756470607423728e-07
540000	0.0011234811675050345	5.645898486205893e-07
545000	0.001127224824669652	5.435702095425941e-07
550000	0.0011108933942122518	5.327009018963155e-07
555000	0.001124226318493891	5.485700288994934e-07
560000	0.0010971034702566605	5.406431041668448e-07
565000	0.0010892128993769408	5.286906308808085e-07
570000	0.0010901342811660887	5.119639993361054e-07
575000	0.001099735682313664	5.188065707917807e-07
580000	0.0010550391418060843	4.78511910193056e-07
585000	0.001080000944265163	4.915263769505599e-07
590000	0.001065282507520822	5.055054470020892e-07
595000	0.0010402802033289374	4.5389599074008775e-07
600000	0.0010419455241704025	4.498255334038389e-07
605000	0.0010450391305754244	4.3575331112846606e-07
610000	0.0010540868303798537	5.165823476937407e-07
615000	0.00101872467252826	4.2988745298959914e-07
620000	0.0010445105192918832	4.613281128180392e-07
625000	0.0010252617066007661	4.538622415878157e-07
630000	0.0010228988886671184	4.581819443480324e-07
635000	0.0010287837978955898	4.663254408438843e-07
640000	0.0010068852073118512	4.309361065371639e-07
645000	0.0010103837503044639	4.267988599033546e-07
650000	0.0009827443311680258	3.8210873199951124e-07
655000	0.0009964304116746774	4.221601942687163e-07
660000	0.000984991853335588	3.8818777476241256e-07
665000	0.0009795747978305748	3.892101734328959e-07
670000	0.0009725166192633804	3.7804080198657285e-07
675000	0.0009840087867573918	4.2238538529358316e-07
680000	0.0009586579099724312	3.9983532917869596e-07
685000	0.000964203853350518	4.1652601210246237e-07
690000	0.0009837520482719672	4.35059784890954e-07
695000	0.000957234520700517	3.72444824967721e-07
700000	0.0009462550771958863	3.678833915669973e-07
705000	0.0009456826215304827	3.6966428476909127e-07
710000	0.0009639059572134833	4.0637355898867035e-07
715000	0.0009474362700621581	3.867607257787092e-07
720000	0.0009489359055598921	3.8581601104092263e-07
725000	0.0009272949992676967	3.496281597099759e-07
730000	0.0009165713334477835	3.603269798746252e-07
735000	0.0009322188237357949	3.8962749969187875e-07
740000	0.0009190194117647092	3.326236647278395e-07
745000	0.0009190777710832504	3.4590647045550024e-07
750000	0.0009187224110154741	3.9355778632400535e-07
755000	0.0009245317227259887	3.826261151074476e-07
760000	0.000898600531220944	3.3822020355426857e-07
765000	0.0009153293261824167	3.4940105522819037e-07
